location,description
PTG0005-EV-UMC01BB001,Fire Extinguisher 1
PTG0005-EV-UMC01BB002,Fire Extinguisher 2
PTG0005-EV-AJA01GT001,Transformer
PTG0005-EV-BFA01GH001,MDB
PTG0005-EV-BTL01GU201,DC Charger 120kW
PTG0005-EV-BTL01GU201-A01,DC Charger Power Module
PTG0005-EV-BTL01GU201-A11,DC Charger Controller
PTG0005-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0005-EV-BTL01GU201-A31,DC Charger Meter
PTG0005-EV-BTL01GU201-A41,DC Charger Filter
PTG0005-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0005-EV-BTL01GU201-A61,DC Charger Contactor
EGT0008-EV-UMC01US002,Parking lot
EGT0008-EV-BJB01GH001,Lighting
EGT0009,EGAT Nam Phong Power Plant
EGT0009-EV,EVCS Elex @ Nam Phong Power Plant
EGT0009-EV-UMC01US001,Main Structure
EGT0009-EV-UMC01US002,Parking lot
EGT0009-EV-UMC01GH001,Logo Sign
EGT0009-EV-UMC01BB001,Fire Extinguisher 1
EGT0009-EV-UMC01BB002,Fire Extinguisher 2
EGT0009-EV-AJA01GT001,Transformer
EGT0009-EV-BFA01GH001,MDB
EGT0009-EV-BTL01GU201,DC Charger 90kW
EGT0009-EV-BTL01GU201-A01,DC Charger Power Module
EGT0009-EV-BTL01GU201-A11,DC Charger Controller
EGT0009-EV-BTL01GU201-A21,DC Charger Auxillary
EGT0009-EV-BTL01GU201-A31,DC Charger Meter
EGT0009-EV-BTL01GU201-A41,DC Charger Filter
EGT0009-EV-BTL01GU201-A51,DC Charger Charging Gun
EGT0009-EV-BTL01GU201-A61,DC Charger Contactor
EGT0009-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
EGT0009-EV-BTL01GU201-A81,DC Charger SECC
EGT0009-EV-BTL01GU201-A91,DC Charger Power Supply
EGT0009-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0009-EV-BTL01GU201-F11,DC Charger IMD
EGT0009-EV-BTL01GU201-E01,DC Charger HMI
EGT0009-EV-BTL01GU201-H01,SIM for Charger
EGT0009-EV-CYA01GH001,Consumer Unit
EGT0009-EV-CYA01GN001,Router & POE Switch
EGT0009-EV-CYA01GN101,CCTV 1
EGT0009-EV-CYA01GN102,CCTV 2
EGT0009-EV-CYA01GN201,NVR
EGT0009-EV-CYA01GN301,SIM for Router
