location,description
EGT0009-EV-CYA01GU001,UPS
EGT0009-EV-BJB01GH001,Lighting
EGT0010,EGAT Bang Pakong Power Plant
EGT0010-EV,EVCS Elex @ Bang Pakong Power Plant
EGT0010-EV-UMC01US001,Main Structure
EGT0010-EV-UMC01US002,Parking lot
EGT0010-EV-UMC01GH001,Logo Sign
EGT0010-EV-UMC01BB001,Fire Extinguisher 1
EGT0010-EV-UMC01BB002,Fire Extinguisher 2
EGT0010-EV-AJA01GT001,Transformer
EGT0010-EV-BFA01GH001,MDB
EGT0010-EV-BTL01GU201,DC Charger 90kW
EGT0010-EV-BTL01GU201-A01,DC Charger Power Module
EGT0010-EV-BTL01GU201-A11,DC Charger Controller
EGT0010-EV-BTL01GU201-A21,DC Charger Auxillary
EGT0010-EV-BTL01GU201-A31,DC Charger Meter
EGT0010-EV-BTL01GU201-A41,DC Charger Filter
EGT0010-EV-BTL01GU201-A51,DC Charger Charging Gun
EGT0010-EV-BTL01GU201-A61,DC Charger Contactor
EGT0010-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
EGT0010-EV-BTL01GU201-A81,DC Charger SECC
EGT0008-EV-UMC01GH001,Logo Sign
EGT0008-EV-UMC01BB001,Fire Extinguisher 1
EGT0008-EV-UMC01BB002,Fire Extinguisher 2
EGT0008-EV-AJA01GT001,Transformer
EGT0008-EV-BFA01GH001,MDB
EGT0008-EV-BTL01GU201,DC Charger 90kW
EGT0008-EV-BTL01GU201-A01,DC Charger Power Module
EGT0008-EV-BTL01GU201-A11,DC Charger Controller
EGT0008-EV-BTL01GU201-A21,DC Charger Auxillary
EGT0008-EV-BTL01GU201-A31,DC Charger Meter
EGT0008-EV-BTL01GU201-A41,DC Charger Filter
EGT0008-EV-BTL01GU201-A51,DC Charger Charging Gun
EGT0008-EV-BTL01GU201-A61,DC Charger Contactor
EGT0008-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
EGT0008-EV-BTL01GU201-A81,DC Charger SECC
EGT0008-EV-BTL01GU201-A91,DC Charger Power Supply
EGT0008-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0008-EV-BTL01GU201-F11,DC Charger IMD
EGT0008-EV-BTL01GU201-E01,DC Charger HMI
EGT0008-EV-BTL01GU201-H01,SIM for Charger
EGT0008-EV-CYA01GH001,Consumer Unit
EGT0008-EV-CYA01GN001,Router & POE Switch
EGT0008-EV-CYA01GN101,CCTV 1
EGT0008-EV-CYA01GN102,CCTV 2
EGT0008-EV-CYA01GN201,NVR
EGT0008-EV-CYA01GN301,SIM for Router
EGT0008-EV-CYA01GU001,UPS
EGT0015-EV-CYA01GH001,Consumer Unit
EGT0015-EV-BTL01GU102-A51,AC Charger Charging Gun
EGT0015-EV-BTL01GU102-H01,SIM for Charger 2
EGT0015-EV-BTL01GU103,AC Charger 22kW 3
EGT0015-EV-BTL01GU103-A51,AC Charger Charging Gun
EGT0015-EV-BTL01GU103-H01,SIM for Charger 3
EGT0015-EV-BTL01GU104,AC Charger 22kW 4
EGT0015-EV-BTL01GU104-A51,AC Charger Charging Gun
EGT0015-EV-BTL01GU104-H01,SIM for Charger 4
EGT0016,EGAT Parking building T.103
EGT0016-EV,EVCS Elex @ Parking building T.103
EGT0016-EV-UMC01US002,Parking lot
EGT0016-EV-UMC01GH001,Logo Sign
EGT0016-EV-UMC01GH002,Main Structure (AC)
EGT0016-EV-UMC01BB001,Fire Extinguisher 1
EGT0016-EV-UMC01BB002,Fire Extinguisher 2
EGT0016-EV-AJA01GT001,Transformer
EGT0016-EV-BFA01GH001,MDB
EGT0016-EV-BTL01GU101,AC Charger 7.4kW 1
EGT0016-EV-BTL01GU101-A51,AC Charger Charging Gun
EGT0016-EV-BTL01GU101-H01,SIM for Charger 1
EGT0016-EV-BTL01GU102,AC Charger 7.4kW 2
EGT0016-EV-BTL01GU102-A51,AC Charger Charging Gun
EGT0016-EV-BTL01GU102-H01,SIM for Charger 2
EGT0016-EV-BTL01GU103,AC Charger 7.4kW 3
EGT0016-EV-BTL01GU103-A51,AC Charger Charging Gun
EGT0016-EV-BTL01GU103-H01,SIM for Charger 3
EGT0012-EV-BTL01GU201-E01,DC Charger HMI
EGT0012-EV-BTL01GU201-H01,SIM for Charger
EGT0012-EV-CYA01GH001,Consumer Unit
EGT0012-EV-CYA01GN001,Router & POE Switch
EGT0012-EV-CYA01GN101,CCTV 1
EGT0012-EV-CYA01GN102,CCTV 2
EGT0012-EV-CYA01GN201,NVR
EGT0012-EV-CYA01GN301,SIM for Router
EGT0012-EV-CYA01GU001,UPS
EGT0012-EV-BJB01GH001,Lighting
EGT0013,EGAT Wang Noi Power Plant
EGT0013-EV,EVCS Elex @ Wang Noi Power Plant
EGT0013-EV-UMC01US001,Main Structure
EGT0013-EV-UMC01US002,Parking lot
EGT0013-EV-UMC01GH001,Logo Sign
EGT0013-EV-UMC01BB001,Fire Extinguisher 1
EGT0013-EV-UMC01BB002,Fire Extinguisher 2
EGT0013-EV-AJA01GT001,Transformer
EGT0013-EV-BFA01GH001,MDB
EGT0013-EV-BTL01GU201,DC Charger 90kW
EGT0013-EV-BTL01GU201-A01,DC Charger Power Module
EGT0013-EV-BTL01GU201-A11,DC Charger Controller
EGT0013-EV-BTL01GU201-A21,DC Charger Auxillary
EGT0013-EV-BTL01GU201-A31,DC Charger Meter
EGT0013-EV-BTL01GU201-A41,DC Charger Filter
EGT0013-EV-BTL01GU201-A51,DC Charger Charging Gun
EGT0013-EV-BTL01GU201-A61,DC Charger Contactor
EGT0013-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
EGT0013-EV-BTL01GU201-A81,DC Charger SECC
EGT0013-EV-BTL01GU201-A91,DC Charger Power Supply
EGT0013-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0013-EV-BTL01GU201-F11,DC Charger IMD
EGT0013-EV-BTL01GU201-E01,DC Charger HMI
EGT0013-EV-BTL01GU201-H01,SIM for Charger
EGT0013-EV-CYA01GH001,Consumer Unit
EGT0013-EV-CYA01GN001,Router & POE Switch
EGT0013-EV-CYA01GN101,CCTV 1
EGT0013-EV-CYA01GN102,CCTV 2
EGT0013-EV-CYA01GN201,NVR
EGT0013-EV-CYA01GN301,SIM for Router
EGT0013-EV-CYA01GU001,UPS
EGT0013-EV-BJB01GH001,Lighting
EGT0014,EGAT Learning Center
EGT0014-EV,EVCS Elex @ EGAT Learning Center
EGT0014-EV-UMC01US001,Main Structure
EGT0014-EV-UMC01US002,Parking lot
EGT0014-EV-UMC01GH001,Logo Sign
EGT0014-EV-UMC01BB001,Fire Extinguisher 1
EGT0015-EV-CYA01GN001,Router & POE Switch
EGT0015-EV-CYA01GN101,CCTV 1
EGT0015-EV-CYA01GN102,CCTV 2
EGT0015-EV-CYA01GN201,NVR
EGT0015-EV-CYA01GN301,SIM for Router
EGT0015-EV-CYA01GU001,UPS
EGT0015-EV-BJB01GH001,Lighting
EGT0011-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0011-EV-BTL01GU201-F11,DC Charger IMD
EGT0011-EV-BTL01GU201-E01,DC Charger HMI
EGT0011-EV-BTL01GU201-H01,SIM for Charger
EGT0011-EV-BTL01GU202,DC Charger 90kW
EGT0011-EV-BTL01GU202-A01,DC Charger Power Module
EGT0011-EV-BTL01GU202-A11,DC Charger Controller
EGT0011-EV-BTL01GU202-A21,DC Charger Auxillary
EGT0011-EV-BTL01GU202-A31,DC Charger Meter
EGT0011-EV-BTL01GU202-A41,DC Charger Filter
EGT0011-EV-BTL01GU202-A51,DC Charger Charging Gun
EGT0011-EV-BTL01GU202-A61,DC Charger Contactor
EGT0011-EV-BTL01GU202-A71,DC Charger Breaker (CB DS MS RCD)
EGT0011-EV-BTL01GU202-A81,DC Charger SECC
EGT0011-EV-BTL01GU202-A91,DC Charger Power Supply
EGT0011-EV-BTL01GU202-F01,DC Charger DC Fuse
EGT0011-EV-BTL01GU202-F11,DC Charger IMD
EGT0011-EV-BTL01GU202-E01,DC Charger HMI
EGT0011-EV-BTL01GU202-H01,SIM for Charger
EGT0011-EV-CYA01GH001,Consumer Unit
EGT0011-EV-CYA01GN001,Router & POE Switch
EGT0011-EV-CYA01GN101,CCTV 1
EGT0011-EV-CYA01GN102,CCTV 2
EGT0011-EV-CYA01GN201,NVR
EGT0011-EV-CYA01GN301,SIM for Router
EGT0011-EV-CYA01GU001,UPS
EGT0011-EV-BJB01GH001,Lighting
EGT0012,EGAT Lam Takhong Power Plant
EGT0012-EV,EVCS Elex @ Lam Takhong Power Plant
EGT0012-EV-UMC01US001,Main Structure
EGT0012-EV-UMC01US002,Parking lot
EGT0012-EV-UMC01GH001,Logo Sign
EGT0012-EV-UMC01BB001,Fire Extinguisher 1
EGT0012-EV-UMC01BB002,Fire Extinguisher 2
EGT0012-EV-AJA01GT001,Transformer
EGT0012-EV-BFA01GH001,MDB
EGT0012-EV-BTL01GU201,DC Charger 90kW
EGT0012-EV-BTL01GU201-A01,DC Charger Power Module
EGT0012-EV-BTL01GU201-A11,DC Charger Controller
EGT0012-EV-BTL01GU201-A21,DC Charger Auxillary
EGT0012-EV-BTL01GU201-A31,DC Charger Meter
EGT0012-EV-BTL01GU201-A41,DC Charger Filter
EGT0012-EV-BTL01GU201-A51,DC Charger Charging Gun
EGT0012-EV-BTL01GU201-A61,DC Charger Contactor
EGT0012-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
EGT0012-EV-BTL01GU201-A81,DC Charger SECC
EGT0012-EV-BTL01GU201-A91,DC Charger Power Supply
EGT0012-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0012-EV-BTL01GU201-F11,DC Charger IMD
EGT0015-EV-UMC01GH002,Main Structure (AC)
EGT0015-EV-BTL01GU101,AC Charger 22kW 1
EGT0015-EV-BTL01GU101-A51,AC Charger Charging Gun
EGT0015-EV-BTL01GU101-H01,SIM for Charger 1
EGT0015-EV-BTL01GU102,AC Charger 22kW 2
EGT0010-EV-BTL01GU201-A91,DC Charger Power Supply
EGT0010-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0010-EV-BTL01GU201-F11,DC Charger IMD
EGT0010-EV-BTL01GU201-E01,DC Charger HMI
EGT0010-EV-BTL01GU201-H01,SIM for Charger
EGT0010-EV-CYA01GH001,Consumer Unit
EGT0010-EV-CYA01GN001,Router & POE Switch
EGT0010-EV-CYA01GN101,CCTV 1
EGT0010-EV-CYA01GN102,CCTV 2
EGT0010-EV-CYA01GN201,NVR
EGT0010-EV-CYA01GN301,SIM for Router
EGT0010-EV-CYA01GU001,UPS
EGT0010-EV-BJB01GH001,Lighting
EGT0011,EGAT Mae Moh Power Plant
EGT0011-EV,EVCS Elex @ Mae Moh Power Plant
EGT0011-EV-UMC01US001,Main Structure
EGT0011-EV-UMC01US002,Parking lot
EGT0011-EV-UMC01GH001,Logo Sign
EGT0011-EV-UMC01BB001,Fire Extinguisher 1
EGT0011-EV-UMC01BB002,Fire Extinguisher 2
EGT0011-EV-AJA01GT001,Transformer
EGT0011-EV-BFA01GH001,MDB
EGT0011-EV-BTL01GU201,DC Charger 90kW
EGT0011-EV-BTL01GU201-A01,DC Charger Power Module
EGT0011-EV-BTL01GU201-A11,DC Charger Controller
EGT0011-EV-BTL01GU201-A21,DC Charger Auxillary
EGT0011-EV-BTL01GU201-A31,DC Charger Meter
EGT0011-EV-BTL01GU201-A41,DC Charger Filter
EGT0011-EV-BTL01GU201-A51,DC Charger Charging Gun
EGT0011-EV-BTL01GU201-A61,DC Charger Contactor
EGT0011-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
EGT0011-EV-BTL01GU201-A81,DC Charger SECC
EGT0011-EV-BTL01GU201-A91,DC Charger Power Supply
EGT0014-EV-UMC01BB002,Fire Extinguisher 2
EGT0014-EV-AJA01GT001,Transformer
EGT0014-EV-BFA01GH001,MDB
EGT0014-EV-BTL01GU201,DC Charger 90kW
EGT0014-EV-BTL01GU201-A01,DC Charger Power Module
EGT0014-EV-BTL01GU201-A11,DC Charger Controller
EGT0014-EV-BTL01GU201-A21,DC Charger Auxillary
EGT0014-EV-BTL01GU201-A31,DC Charger Meter
EGT0014-EV-BTL01GU201-A41,DC Charger Filter
EGT0014-EV-BTL01GU201-A51,DC Charger Charging Gun
EGT0014-EV-BTL01GU201-A61,DC Charger Contactor
EGT0014-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
EGT0014-EV-BTL01GU201-A81,DC Charger SECC
EGT0014-EV-BTL01GU201-A91,DC Charger Power Supply
EGT0014-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0014-EV-BTL01GU201-F11,DC Charger IMD
EGT0014-EV-BTL01GU201-E01,DC Charger HMI
EGT0014-EV-BTL01GU201-H01,SIM for Charger
EGT0014-EV-CYA01GH001,Consumer Unit
EGT0014-EV-CYA01GN001,Router & POE Switch
EGT0014-EV-CYA01GN101,CCTV 1
EGT0014-EV-CYA01GN102,CCTV 2
EGT0014-EV-CYA01GN201,NVR
EGT0014-EV-CYA01GN301,SIM for Router
EGT0014-EV-CYA01GU001,UPS
EGT0014-EV-BJB01GH001,Lighting
EGT0015,EGAT Khun Sai Chol EGAT Central Office
EGT0015-EV,EVCS Elex @ Khun Sai Chol EGAT Central Office
EGT0015-EV-UMC01US002,Parking lot
EGT0015-EV-UMC01GH001,Logo Sign
EGT0015-EV-UMC01BB001,Fire Extinguisher 1
EGT0015-EV-UMC01BB002,Fire Extinguisher 2
EGT0015-EV-BFA01GH001,MDB
EGT0015-EV-BTL01GU201,DC Charger 60kW
EGT0015-EV-BTL01GU201-A01,DC Charger Power Module
EGT0015-EV-BTL01GU201-A11,DC Charger Controller
EGT0015-EV-BTL01GU201-A21,DC Charger Auxillary
EGT0015-EV-BTL01GU201-A31,DC Charger Meter
EGT0015-EV-BTL01GU201-A41,DC Charger Filter
EGT0015-EV-BTL01GU201-A51,DC Charger Charging Gun
EGT0015-EV-BTL01GU201-A61,DC Charger Contactor
EGT0015-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
EGT0015-EV-BTL01GU201-A81,DC Charger SECC
EGT0015-EV-BTL01GU201-A91,DC Charger Power Supply
EGT0015-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0015-EV-BTL01GU201-F11,DC Charger IMD
EGT0015-EV-BTL01GU201-E01,DC Charger HMI
EGT0015-EV-BTL01GU201-H01,SIM for Charger
EGT0019-EV-CYA01GN101,CCTV 1
EGT0019-EV-CYA01GN102,CCTV 2
EGT0019-EV-CYA01GN201,NVR
EGT0019-EV-CYA01GN301,SIM for Router
EGT0019-EV-CYA01GU001,UPS
EGT0019-EV-BJB01GH001,Lighting
EGT0020,Market Village Suvarnabhumi
EGT0020-EV,EVCS Elex @ Market Village Suvarnabhumi
EGT0020-EV-UMC01US002,Parking lot
EGT0020-EV-UMC01GH001,Logo Sign
EGT0020-EV-UMC01GH002,Main Structure (AC)
EGT0020-EV-UMC01BB001,Fire Extinguisher 1
EGT0020-EV-UMC01BB002,Fire Extinguisher 2
EGT0020-EV-AJA01GT001,Transformer
EGT0020-EV-BFA01GH001,MDB
EGT0020-EV-BTL01GU101,AC Charger 22kW 1
EGT0020-EV-BTL01GU101-A51,AC Charger Charging Gun
EGT0020-EV-BTL01GU101-H01,SIM for Charger 1
EGT0020-EV-BTL01GU102,AC Charger 22kW 2
EGT0020-EV-BTL01GU102-A51,AC Charger Charging Gun
EGT0020-EV-BTL01GU102-H01,SIM for Charger 2
EGT0020-EV-BTL01GU103,AC Charger 22kW 3
EGT0020-EV-BTL01GU103-A51,AC Charger Charging Gun
EGT0020-EV-BTL01GU103-H01,SIM for Charger 3
EGT0020-EV-CYA01GH001,Consumer Unit
EGT0020-EV-CYA01GN001,Router & POE Switch
EGT0020-EV-CYA01GN101,CCTV 1
EGT0020-EV-CYA01GN102,CCTV 2
EGT0021-EV-CYA01GH001,Consumer Unit
EGT0021-EV-CYA01GN001,Router & POE Switch
EGT0021-EV-CYA01GN101,CCTV 1
EGT0021-EV-CYA01GN102,CCTV 2
EGT0021-EV-CYA01GN201,NVR
EGT0021-EV-CYA01GN301,SIM for Router
EGT0021-EV-CYA01GU001,UPS
EGT0021-EV-BJB01GH001,Lighting
EGT0022,Market Village Hua Hin
EGT0022-EV,EVCS Elex @ Market Village Hua Hin
EGT0022-EV-UMC01US001,Main Structure
EGT0022-EV-UMC01US002,Parking lot
EGT0022-EV-UMC01GH001,Logo Sign
EGT0022-EV-UMC01BB001,Fire Extinguisher 1
EGT0022-EV-UMC01BB002,Fire Extinguisher 2
EGT0022-EV-AJA01GT001,Transformer
EGT0022-EV-BFA01GH001,MDB
EGT0022-EV-BTL01GU201,DC Charger 125kW
EGT0022-EV-BTL01GU201-A01,DC Charger Power Module
EGT0022-EV-BTL01GU201-A11,DC Charger Controller
EGT0022-EV-BTL01GU201-A21,DC Charger Auxillary
EGT0022-EV-BTL01GU201-A31,DC Charger Meter
EGT0022-EV-BTL01GU201-A41,DC Charger Filter
EGT0022-EV-BTL01GU201-A51,DC Charger Charging Gun
EGT0022-EV-BTL01GU201-A61,DC Charger Contactor
EGT0022-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
EGT0017-EV-BTL01GU101-H01,SIM for Charger 2
EGT0017-EV-BTL01GU102,AC Charger 22kW 2
EGT0017-EV-BTL01GU102-A51,AC Charger Charging Gun
EGT0017-EV-BTL01GU102-H01,SIM for Charger 3
EGT0018,Ministry of Finance
EGT0018-EV,EVCS Elex @ Ministry of Finance
EGT0018-EV-UMC01US002,Parking lot
EGT0018-EV-UMC01GH001,Logo Sign
EGT0018-EV-UMC01GH002,Main Structure (AC)
EGT0018-EV-UMC01BB001,Fire Extinguisher 1
EGT0018-EV-UMC01BB002,Fire Extinguisher 2
EGT0018-EV-AJA01GT001,Transformer
EGT0018-EV-BFA01GH001,MDB
EGT0018-EV-BTL01GU101,AC Charger 22kW 1
EGT0018-EV-BTL01GU101-A51,AC Charger Charging Gun
EGT0018-EV-BTL01GU101-H01,SIM for Charger 1
EGT0018-EV-BTL01GU102,AC Charger 22kW 2
EGT0018-EV-BTL01GU102-A51,AC Charger Charging Gun
EGT0018-EV-BTL01GU102-H01,SIM for Charger 2
EGT0018-EV-CYA01GH001,Consumer Unit
EGT0018-EV-CYA01GN001,Router & POE Switch
EGT0018-EV-CYA01GN101,CCTV 1
EGT0018-EV-CYA01GN102,CCTV 2
EGT0018-EV-CYA01GN201,NVR
EGT0018-EV-CYA01GN301,SIM for Router
EGT0018-EV-CYA01GU001,UPS
EGT0018-EV-BJB01GH001,Lighting
EGT0016-EV-BTL01GU104,AC Charger 7.4kW 4
EGT0016-EV-BTL01GU104-A51,AC Charger Charging Gun
EGT0016-EV-BTL01GU104-H01,SIM for Charger 4
EGT0016-EV-BTL01GU105,AC Charger 7.4kW 5
EGT0016-EV-BTL01GU105-A51,AC Charger Charging Gun
EGT0016-EV-BTL01GU105-H01,SIM for Charger 5
EGT0016-EV-BTL01GU106,AC Charger 7.4kW 6
EGT0016-EV-BTL01GU106-A51,AC Charger Charging Gun
EGT0016-EV-BTL01GU106-H01,SIM for Charger 6
EGT0016-EV-BTL01GU107,AC Charger 7.4kW 7
EGT0016-EV-BTL01GU107-A51,AC Charger Charging Gun
EGT0016-EV-BTL01GU107-H01,SIM for Charger 7
EGT0016-EV-BTL01GU108,AC Charger 7.4kW 8
EGT0016-EV-BTL01GU108-A51,AC Charger Charging Gun
EGT0016-EV-BTL01GU108-H01,SIM for Charger 8
EGT0016-EV-BTL01GU109,AC Charger 7.4kW 9
EGT0016-EV-BTL01GU109-A51,AC Charger Charging Gun
EGT0016-EV-BTL01GU109-H01,SIM for Charger 9
EGT0016-EV-CYA01GH001,Consumer Unit
EGT0016-EV-CYA01GN001,Router & POE Switch
EGT0016-EV-CYA01GN101,CCTV 1
EGT0016-EV-CYA01GN102,CCTV 2
EGT0016-EV-CYA01GN201,NVR
EGT0016-EV-CYA01GN301,SIM for Router
EGT0016-EV-CYA01GU001,UPS
EGT0016-EV-BJB01GH001,Lighting
EGT0017,BDMS Pattaya Bangkok Hospital Pattaya
EGT0017-EV,EVCS Elex @ BDMS Pattaya Bangkok Hospital Pattaya
EGT0017-EV-UMC01US002,Parking lot
EGT0017-EV-UMC01GH001,Logo Sign
EGT0017-EV-UMC01BB001,Fire Extinguisher 1
EGT0017-EV-UMC01BB002,Fire Extinguisher 2
EGT0017-EV-AJA01GT001,Transformer
EGT0017-EV-BFA01GH001,MDB
EGT0017-EV-BTL01GU201,DC Charger 100kW
EGT0017-EV-BTL01GU201-A01,DC Charger Power Module
EGT0017-EV-BTL01GU201-A11,DC Charger Controller
EGT0017-EV-BTL01GU201-A21,DC Charger Auxillary
EGT0017-EV-BTL01GU201-A31,DC Charger Meter
EGT0017-EV-BTL01GU201-A41,DC Charger Filter
EGT0017-EV-BTL01GU201-A51,DC Charger Charging Gun
EGT0017-EV-BTL01GU201-A61,DC Charger Contactor
EGT0017-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
EGT0017-EV-BTL01GU201-A81,DC Charger SECC
EGT0017-EV-BTL01GU201-A91,DC Charger Power Supply
EGT0017-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0017-EV-BTL01GU201-F11,DC Charger IMD
EGT0017-EV-BTL01GU201-E01,DC Charger HMI
EGT0017-EV-BTL01GU201-H01,SIM for Charger 1
EGT0017-EV-CYA01GH001,Consumer Unit
EGT0017-EV-CYA01GN001,Router & POE Switch
EGT0017-EV-CYA01GN101,CCTV 1
EGT0017-EV-CYA01GN102,CCTV 2
EGT0017-EV-CYA01GN201,NVR
EGT0017-EV-CYA01GN301,SIM for Router
EGT0017-EV-CYA01GU001,UPS
EGT0017-EV-BJB01GH001,Lighting
EGT0017-EV-UMC01GH002,Main Structure (AC)
EGT0017-EV-BTL01GU101,AC Charger 22kW 1
EGT0017-EV-BTL01GU101-A51,AC Charger Charging Gun
EGT0019,Future Park Rangsit Outdoor Short Stay Parking
EGT0019-EV,EVCS Elex @ Future Park Rangsit Outdoor Short Stay Parking
EGT0019-EV-UMC01US002,Parking lot
EGT0019-EV-UMC01GH001,Logo Sign
EGT0019-EV-UMC01GH002,Main Structure (AC)
EGT0019-EV-UMC01BB001,Fire Extinguisher 1
EGT0019-EV-UMC01BB002,Fire Extinguisher 2
EGT0019-EV-AJA01GT001,Transformer
EGT0019-EV-BFA01GH001,MDB
EGT0019-EV-BTL01GU101,AC Charger 22kW 1
EGT0019-EV-BTL01GU101-A51,AC Charger Charging Gun
EGT0019-EV-BTL01GU101-H01,SIM for Charger 1
EGT0019-EV-BTL01GU102,AC Charger 22kW 2
EGT0019-EV-BTL01GU102-A51,AC Charger Charging Gun
EGT0019-EV-BTL01GU102-H01,SIM for Charger 2
EGT0019-EV-BTL01GU103,AC Charger 22kW 3
EGT0019-EV-BTL01GU103-A51,AC Charger Charging Gun
EGT0019-EV-BTL01GU103-H01,SIM for Charger 3
EGT0019-EV-CYA01GH001,Consumer Unit
EGT0019-EV-CYA01GN001,Router & POE Switch
EGT0021-EV-BTL01GU201-A61,DC Charger Contactor
EGT0020-EV-CYA01GN201,NVR
EGT0020-EV-CYA01GN301,SIM for Router
EGT0020-EV-CYA01GU001,UPS
EGT0020-EV-BJB01GH001,Lighting
EGT0021,Midwinter Khao Yai
EGT0021-EV,EVCS Elex @ Midwinter Khao Yai
EGT0021-EV-UMC01US001,Main Structure
EGT0021-EV-UMC01US002,Parking lot
EGT0021-EV-UMC01GH001,Logo Sign
EGT0021-EV-UMC01BB001,Fire Extinguisher 1
EGT0021-EV-UMC01BB002,Fire Extinguisher 2
EGT0021-EV-AJA01GT001,Transformer
EGT0021-EV-BFA01GH001,MDB
EGT0021-EV-BTL01GU201,DC Charger 125kW
EGT0021-EV-BTL01GU201-A01,DC Charger Power Module
EGT0021-EV-BTL01GU201-A11,DC Charger Controller
EGT0021-EV-BTL01GU201-A21,DC Charger Auxillary
EGT0021-EV-BTL01GU201-A31,DC Charger Meter
EGT0021-EV-BTL01GU201-A41,DC Charger Filter
EGT0021-EV-BTL01GU201-A51,DC Charger Charging Gun
EGT0021-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
EGT0021-EV-BTL01GU201-A81,DC Charger SECC
EGT0021-EV-BTL01GU201-A91,DC Charger Power Supply
EGT0021-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0021-EV-BTL01GU201-F11,DC Charger IMD
EGT0021-EV-BTL01GU201-E01,DC Charger HMI
EGT0021-EV-BTL01GU201-H01,SIM for Charger
EGT0030-EV-AJA01GT001,Transformer
EGT0030-EV-BFA01GH001,MDB
EGT0030-EV-BTL01GU101,AC Charger 22kW 1
EGT0030-EV-BTL01GU101-A51,AC Charger Charging Gun
EGT0030-EV-BTL01GU102,AC Charger 22kW 2
EGT0030-EV-BTL01GU102-H01,SIM for Charger 2
EGT0030-EV-CYA01GN001,Router & POE Switch
EGT0030-EV-CYA01GN102,CCTV 2
EGT0030-EV-CYA01GN301,SIM for Router
EGT0030-EV-BJB01GH001,Lighting
EGT0031,"Future Park Rangsit, parking building, G floor, Central zone."
EGT0031-EV-UMC01US002,Parking lot
EGT0031-EV-UMC01GH001,Logo Sign
EGT0031-EV-UMC01GH002,Main Structure (AC)
EGT0031-EV-UMC01BB001,Fire Extinguisher 1
EGT0031-EV-UMC01BB002,Fire Extinguisher 2
EGT0031-EV-AJA01GT001,Transformer
EGT0031-EV-BFA01GH001,MDB
EGT0031-EV-BTL01GU101,AC Charger 22kW 1
EGT0031-EV-BTL01GU101-A51,AC Charger Charging Gun
EGT0031-EV-BTL01GU101-H01,SIM for Charger 1
EGT0031-EV-BTL01GU102,AC Charger 22kW 2
EGT0031-EV-BTL01GU102-A51,AC Charger Charging Gun
EGT0031-EV-BTL01GU102-H01,SIM for Charger 2
EGT0031-EV-BTL01GU103,AC Charger 22kW 3
EGT0031-EV-BTL01GU103-A51,AC Charger Charging Gun
EGT0031-EV-BTL01GU103-H01,SIM for Charger 3
HMP0027-EV,EVCS Elex @ Homepro Ekkamai-Ramintra
HMP0027-EV-UMC01US002,Parking lot
HMP0027-EV-UMC01GH001,Logo Sign
HMP0027-EV-UMC01GH002,Main Structure (AC)
HMP0027-EV-UMC01BB001,Fire Extinguisher 1
HMP0027-EV-UMC01BB002,Fire Extinguisher 2
HMP0027-EV-AJA01GT001,Transformer
HMP0027-EV-BFA01GH001,MDB
HMP0027-EV-BTL01GU101,AC Charger 22kW 1
HMP0027-EV-BTL01GU101-A51,AC Charger Charging Gun
HMP0027-EV-BTL01GU101-H01,SIM for Charger 1
HMP0027-EV-BTL01GU102,AC Charger 22kW 2
HMP0027-EV-BTL01GU102-A51,AC Charger Charging Gun
HMP0027-EV-BTL01GU102-H01,SIM for Charger 2
HMP0027-EV-CYA01GH001,Consumer Unit
HMP0027-EV-CYA01GN001,Router & POE Switch
HMP0027-EV-CYA01GN101,CCTV 1
HMP0027-EV-CYA01GN102,CCTV 2
HMP0027-EV-CYA01GN201,NVR
HMP0027-EV-CYA01GN301,SIM for Router
HMP0027-EV-CYA01GU001,UPS
HMP0027-EV-BJB01GH001,Lighting
EGT0028,Riverdale Golf Club
EGT0028-EV,EVCS Elex @ Riverdale Golf Club
EGT0028-EV-UMC01US002,Parking lot
EGT0028-EV-UMC01GH001,Logo Sign
EGT0028-EV-UMC01GH002,Main Structure (AC)
EGT0028-EV-UMC01BB001,Fire Extinguisher 1
EGT0028-EV-UMC01BB002,Fire Extinguisher 2
EGT0028-EV-AJA01GT001,Transformer
EGT0028-EV-BFA01GH001,MDB
EGT0028-EV-BTL01GU101,AC Charger 22kW 1
